dataset,split_id,split_method,metric,score,model
bace,validate,random,f1_score,0.8797653958944283,GradientBoostingClassifier
bace,train,random,roc_auc_score,0.7452727667898283,GradientBoostingClassifier
bace,validate,random,roc_auc_score,0.7342903575297942,GradientBoostingClassifier
bace,train,random,log_loss,6.257930651234355,GradientBoostingClassifier
bace,validate,random,log_loss,6.238404485028171,GradientBoostingClassifier
bace,train,random,matthews_corrcoef,0.5821568534898636,GradientBoostingClassifier
bace,validate,random,matthews_corrcoef,0.5594552773514648,GradientBoostingClassifier
bace,train,random,accuracy_score,0.6656298600311042,DummyClassifier
bace,validate,random,accuracy_score,0.6872246696035242,DummyClassifier
bace,train,random,f1_score,0.7992530345471522,DummyClassifier
bace,validate,random,f1_score,0.814621409921671,DummyClassifier
bace,train,random,roc_auc_score,0.5,DummyClassifier
bace,validate,random,roc_auc_score,0.5,DummyClassifier
bace,train,random,log_loss,11.549002859025334,DummyClassifier
bace,validate,random,log_loss,10.8031272927586,DummyClassifier
bace,train,random,matthews_corrcoef,0.0,DummyClassifier
bace,validate,random,matthews_corrcoef,0.0,DummyClassifier
clintox,train,random,accuracy_score,0.9848726114649682,SVC
clintox,validate,random,accuracy_score,0.9144144144144144,SVC
clintox,train,random,f1_score,0.9045226130653268,SVC
clintox,validate,random,f1_score,0.24,SVC
clintox,train,random,roc_auc_score,0.9305221688034188,SVC
clintox,validate,random,roc_auc_score,0.6547897196261683,SVC
clintox,train,random,log_loss,0.5224846731611904,SVC
clintox,validate,random,log_loss,2.9560718282311975,SVC
clintox,train,random,matthews_corrcoef,0.8974091881556517,SVC
clintox,validate,random,matthews_corrcoef,0.21698144556589977,SVC
clintox,train,random,accuracy_score,0.9840764331210191,LogisticRegression
clintox,validate,random,accuracy_score,0.9324324324324325,LogisticRegression
clintox,train,random,f1_score,0.8969072164948454,LogisticRegression
clintox,validate,random,f1_score,0.2105263157894737,LogisticRegression
clintox,train,random,roc_auc_score,0.9169671474358976,LogisticRegression
clintox,validate,random,roc_auc_score,0.6039719626168225,LogisticRegression
clintox,train,random,log_loss,0.5499824257090011,LogisticRegression
clintox,validate,random,log_loss,2.333733523876271,LogisticRegression
clintox,train,random,matthews_corrcoef,0.8910543885095727,LogisticRegression
clintox,validate,random,matthews_corrcoef,0.17859140238574864,LogisticRegression
clintox,train,random,accuracy_score,0.9864649681528662,RandomForestClassifier
clintox,validate,random,accuracy_score,0.9459459459459459,RandomForestClassifier
clintox,train,random,f1_score,0.9154228855721392,RandomForestClassifier
clintox,validate,random,f1_score,0.0,RandomForestClassifier
clintox,train,random,roc_auc_score,0.9401375534188035,RandomForestClassifier
clintox,validate,random,roc_auc_score,0.49065420560747663,RandomForestClassifier
clintox,train,random,log_loss,0.4674866215769377,RandomForestClassifier
clintox,validate,random,log_loss,1.8669752933722936,RandomForestClassifier
clintox,train,random,matthews_corrcoef,0.9087276545230268,RandomForestClassifier
clintox,validate,random,matthews_corrcoef,-0.026190262764459613,RandomForestClassifier
clintox,train,random,accuracy_score,0.927547770700637,KNeighborsClassifier
clintox,validate,random,accuracy_score,0.9414414414414415,KNeighborsClassifier
clintox,train,random,f1_score,0.28346456692913385,KNeighborsClassifier
clintox,validate,random,f1_score,0.0,KNeighborsClassifier
clintox,train,random,roc_auc_score,0.5843683226495726,KNeighborsClassifier
clintox,validate,random,roc_auc_score,0.4883177570093458,KNeighborsClassifier
clintox,train,random,log_loss,2.5024145301942866,KNeighborsClassifier
clintox,validate,random,log_loss,2.0225589690134687,KNeighborsClassifier
clintox,train,random,matthews_corrcoef,0.3468221797478027,KNeighborsClassifier
clintox,validate,random,matthews_corrcoef,-0.029348995527639716,KNeighborsClassifier
clintox,train,random,accuracy_score,0.9243630573248408,GradientBoostingClassifier
clintox,validate,random,accuracy_score,0.9684684684684685,GradientBoostingClassifier
clintox,train,random,f1_score,0.1592920353982301,GradientBoostingClassifier
clintox,validate,random,f1_score,0.2222222222222222,GradientBoostingClassifier
