dataset,split_method,split_id,model,metric,score
HIV,cluster,validate,KNeighborsClassifier,roc_auc_score,0.684981368551286
HIV,cluster,train,KNeighborsClassifier,log_loss,0.052036585884086044
HIV,cluster,validate,KNeighborsClassifier,log_loss,0.7683934470209358
HIV,cluster,train,KNeighborsClassifier,matthews_corrcoef,0.5914685122835135
HIV,cluster,validate,KNeighborsClassifier,matthews_corrcoef,0.30073266898651574
HIV,cluster,N/A,KNeighborsClassifier,fit_time,0:00:00.066031
HIV,cluster,train,GradientBoostingClassifier,accuracy_score,0.9664454488243035
HIV,cluster,validate,GradientBoostingClassifier,accuracy_score,0.9628789106824445
HIV,cluster,train,GradientBoostingClassifier,balanced_accuracy_score,0.5252304973397176
HIV,cluster,validate,GradientBoostingClassifier,balanced_accuracy_score,0.5063533606155333
HIV,cluster,train,GradientBoostingClassifier,f1_score,0.09560524286815729
HIV,cluster,validate,GradientBoostingClassifier,f1_score,0.025531914893617016
HIV,cluster,train,GradientBoostingClassifier,roc_auc_score,0.7424943294093705
HIV,cluster,validate,GradientBoostingClassifier,roc_auc_score,0.7580422703280452
HIV,cluster,train,GradientBoostingClassifier,log_loss,0.12778513646569198
HIV,cluster,validate,GradientBoostingClassifier,log_loss,0.13393223833508267
HIV,cluster,train,GradientBoostingClassifier,matthews_corrcoef,0.18862549785128574
HIV,cluster,validate,GradientBoostingClassifier,matthews_corrcoef,0.08459365030479009
HIV,cluster,N/A,GradientBoostingClassifier,fit_time,0:00:54.097651
HIV,cluster,train,DummyClassifier,accuracy_score,0.9653012186051834
HIV,cluster,validate,DummyClassifier,accuracy_score,0.9627168098557303
HIV,cluster,train,DummyClassifier,balanced_accuracy_score,0.5
HIV,cluster,validate,DummyClassifier,balanced_accuracy_score,0.5
HIV,cluster,train,DummyClassifier,f1_score,0.0
HIV,cluster,validate,DummyClassifier,f1_score,0.0
HIV,cluster,train,DummyClassifier,roc_auc_score,0.5
HIV,cluster,validate,DummyClassifier,roc_auc_score,0.5
HIV,cluster,train,DummyClassifier,log_loss,1.1984534517714596
HIV,cluster,validate,DummyClassifier,log_loss,1.287715767681871
HIV,cluster,train,DummyClassifier,matthews_corrcoef,0.0
HIV,cluster,validate,DummyClassifier,matthews_corrcoef,0.0
HIV,cluster,N/A,DummyClassifier,fit_time,0:00:00.004002
sol_del,cluster,train,SVC,accuracy_score,0.9968717413972888
sol_del,cluster,validate,SVC,accuracy_score,0.7751479289940828
sol_del,cluster,train,SVC,balanced_accuracy_score,0.9953453301656304
sol_del,cluster,validate,SVC,balanced_accuracy_score,0.6833333333333333
sol_del,cluster,train,SVC,f1_score,0.9897610921501707
sol_del,cluster,validate,SVC,f1_score,0.5128205128205128
sol_del,cluster,train,SVC,roc_auc_score,0.9992923216903402
sol_del,cluster,validate,SVC,roc_auc_score,0.7996055226824457
sol_del,cluster,train,SVC,log_loss,0.09984197774300776
sol_del,cluster,validate,SVC,log_loss,0.45560736154764875
sol_del,cluster,train,SVC,matthews_corrcoef,0.9879229795117571
sol_del,cluster,validate,SVC,matthews_corrcoef,0.36666666666666664
sol_del,cluster,N/A,SVC,fit_time,0:00:00.687029
sol_del,cluster,train,LogisticRegression,accuracy_score,0.9843587069864442
sol_del,cluster,validate,LogisticRegression,accuracy_score,0.8106508875739645
sol_del,cluster,train,LogisticRegression,balanced_accuracy_score,0.9514397883704864
sol_del,cluster,validate,LogisticRegression,balanced_accuracy_score,0.6884615384615385
sol_del,cluster,train,LogisticRegression,f1_score,0.946236559139785
sol_del,cluster,validate,LogisticRegression,f1_score,0.5294117647058824
sol_del,cluster,train,LogisticRegression,roc_auc_score,0.9990058804697637
sol_del,cluster,validate,LogisticRegression,roc_auc_score,0.8428007889546351
sol_del,cluster,train,LogisticRegression,log_loss,0.09676887279567196
sol_del,cluster,validate,LogisticRegression,log_loss,0.40988169862164214
sol_del,cluster,train,LogisticRegression,matthews_corrcoef,0.9385030446520802
sol_del,cluster,validate,LogisticRegression,matthews_corrcoef,0.4212051674700208
sol_del,cluster,N/A,LogisticRegression,fit_time,0:00:00.098053
sol_del,cluster,train,RandomForestClassifier,accuracy_score,0.9989572471324296
sol_del,cluster,validate,RandomForestClassifier,accuracy_score,0.7928994082840237
sol_del,cluster,train,RandomForestClassifier,balanced_accuracy_score,0.9993849938499385
sol_del,cluster,validate,RandomForestClassifier,balanced_accuracy_score,0.65
sol_del,cluster,train,RandomForestClassifier,f1_score,0.9965870307167235
sol_del,cluster,validate,RandomForestClassifier,f1_score,0.46153846153846156
sol_del,cluster,train,RandomForestClassifier,roc_auc_score,0.9998567793897116
sol_del,cluster,validate,RandomForestClassifier,roc_auc_score,0.8810650887573964
sol_del,cluster,train,RandomForestClassifier,log_loss,0.07121197424263645
sol_del,cluster,validate,RandomForestClassifier,log_loss,0.38106485306288285
sol_del,cluster,train,RandomForestClassifier,matthews_corrcoef,0.9959797357587427
sol_del,cluster,validate,RandomForestClassifier,matthews_corrcoef,0.35032452487268534
sol_del,cluster,N/A,RandomForestClassifier,fit_time,0:00:00.227997
sol_del,cluster,train,KNeighborsClassifier,accuracy_score,0.9061522419186653
sol_del,cluster,validate,KNeighborsClassifier,accuracy_score,0.7396449704142012
sol_del,cluster,train,KNeighborsClassifier,balanced_accuracy_score,0.7929282717484709
sol_del,cluster,validate,KNeighborsClassifier,balanced_accuracy_score,0.7051282051282052
sol_del,cluster,train,KNeighborsClassifier,f1_score,0.6715328467153284
sol_del,cluster,validate,KNeighborsClassifier,f1_score,0.5319148936170213
sol_del,cluster,train,KNeighborsClassifier,roc_auc_score,0.9401759086084012
sol_del,cluster,validate,KNeighborsClassifier,roc_auc_score,0.777120315581854
sol_del,cluster,train,KNeighborsClassifier,log_loss,0.20300313915412402
sol_del,cluster,validate,KNeighborsClassifier,log_loss,0.8735795757425822
sol_del,cluster,train,KNeighborsClassifier,matthews_corrcoef,0.6188814832736448
sol_del,cluster,validate,KNeighborsClassifier,matthews_corrcoef,0.3689143807285732
sol_del,cluster,N/A,KNeighborsClassifier,fit_time,0:00:00.001539
sol_del,cluster,train,GradientBoostingClassifier,accuracy_score,0.862356621480709
sol_del,cluster,validate,GradientBoostingClassifier,accuracy_score,0.757396449704142
sol_del,cluster,train,GradientBoostingClassifier,balanced_accuracy_score,0.5563741596320073
sol_del,cluster,validate,GradientBoostingClassifier,balanced_accuracy_score,0.49230769230769234
